numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
103             ,3036   ,16024  ,-2012  ,110    ,53     ,-31
104             ,2960   ,16028  ,-1800  ,82    ,-37     ,-55
105             ,2968   ,16008  ,-1940  ,255    ,138     ,26
106             ,2996   ,16004  ,-1948  ,7    ,55     ,-47
107             ,2916   ,16008  ,-1984  ,228    ,89     ,28
108             ,3048   ,16000  ,-1908  ,112    ,69     ,-20
109             ,2940   ,15948  ,-1912  ,185    ,116     ,41
110             ,2980   ,16016  ,-1856  ,169    ,65     ,-6
111             ,2936   ,16056  ,-1800  ,124    ,78     ,-11
112             ,2936   ,16068  ,-1884  ,158    ,74     ,25
113             ,3008   ,16044  ,-1812  ,122    ,54     ,-92
114             ,3052   ,16060  ,-1924  ,243    ,107     ,11
115             ,3032   ,15932  ,-2108  ,70    ,61     ,1
116             ,2952   ,16028  ,-1804  ,122    ,55     ,1
117             ,2984   ,15988  ,-1944  ,169    ,66     ,-22
118             ,2940   ,16024  ,-1936  ,236    ,66     ,1
119             ,3016   ,16032  ,-1812  ,134    ,92     ,-22
120             ,2932   ,16016  ,-1928  ,91    ,65     ,18
121             ,2972   ,16000  ,-1856  ,137    ,49     ,27
122             ,3064   ,15976  ,-1944  ,74    ,49     ,-53
123             ,2956   ,16092  ,-1820  ,170    ,100     ,18
124             ,3048   ,15924  ,-2016  ,38    ,73     ,7
125             ,2976   ,15968  ,-1908  ,83    ,92     ,67
126             ,3072   ,15944  ,-2004  ,155    ,111     ,-23
127             ,2940   ,16068  ,-1860  ,155    ,61     ,8
128             ,3000   ,15916  ,-2028  ,77    ,69     ,-14
129             ,2988   ,15980  ,-1988  ,20    ,48     ,-40
130             ,2944   ,16048  ,-1936  ,178    ,83     ,18
131             ,3080   ,15984  ,-1956  ,103    ,80     ,-81
132             ,2948   ,16088  ,-1948  ,136    ,72     ,-25
133             ,2992   ,15976  ,-1868  ,135    ,56     ,23
134             ,2956   ,16048  ,-1864  ,47    ,18     ,9
135             ,3000   ,16012  ,-1888  ,61    ,73     ,11
136             ,2924   ,16112  ,-1976  ,-15    ,39     ,-22
137             ,3000   ,15960  ,-1960  ,209    ,111     ,15
138             ,3004   ,16032  ,-1896  ,137    ,72     ,2
139             ,2972   ,15984  ,-1872  ,101    ,68     ,10
140             ,3052   ,15832  ,-2012  ,122    ,116     ,-24
141             ,2996   ,16000  ,-1848  ,-78    ,-9     ,-8
142             ,3100   ,16016  ,-1976  ,39    ,85     ,24
143             ,2960   ,16024  ,-1980  ,27    ,-16     ,-7
144             ,3040   ,15956  ,-1952  ,221    ,107     ,-23
145             ,2960   ,16052  ,-1776  ,-16    ,38     ,-32
146             ,2976   ,16064  ,-1816  ,-40    ,45     ,-5
147             ,2968   ,16024  ,-1876  ,111    ,82     ,-1
148             ,2876   ,16096  ,-1940  ,36    ,29     ,7
149             ,3004   ,16020  ,-2004  ,187    ,105     ,32
150             ,2944   ,16032  ,-1900  ,87    ,31     ,-32
